Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
2005-06,18,PIT,NHL,81,39,63,102,-1,110,23,16,0,5,30,31,2,278,14,,1630,20:08,,,,,,,,"AR-1,AS-3,Calder-2,Hart-24"
2006-07,19,PIT,NHL,79,36,84,120,10,60,23,13,0,4,36,48,0,250,14.4,,1640,20:46,,,,,,,,"AS-1,Byng-29,Hart-1,Pearson-1,Ross-1"
2007-08,20,PIT,NHL,53,24,48,72,18,39,18,6,0,4,26,21,1,173,13.9,280,1105,20:51,567,536,51.4,40,50,35,37,"AS-5,AS-6,Byng-34,Hart-17"
2008-09,21,PIT,NHL,77,33,70,103,3,76,26,7,0,3,36,33,1,238,13.9,388,1690,21:57,829,786,51.3,42,80,56,80,"AS-3,Byng-35,Hart-6"
2009-10,22,PIT,NHL,81,51,58,109,15,71,36,13,2,6,36,21,1,298,17.1,497,1778,21:57,992,781,56,42,62,43,77,"AS-2,Byng-54,Hart-3,Messier-1,Richard-1,Selke-30"
2010-11,23,PIT,NHL,41,32,34,66,20,31,21,10,1,3,25,9,0,161,19.9,278,899,21:55,546,435,55.7,23,31,15,29,"AS-5,Hart-20"
2011-12,24,PIT,NHL,22,8,29,37,15,14,6,2,0,3,20,9,0,75,10.7,126,406,18:28,227,226,50.1,7,11,10,15,Byng-28
2012-13,25,PIT,NHL,36,15,41,56,26,16,12,3,0,1,27,14,0,124,12.1,203,760,21:06,453,381,54.3,18,21,15,28,"AS-1,Byng-33,Hart-2,Pearson-1,Selke-15"
2013-14,26,PIT,NHL,80,36,68,104,18,46,25,11,0,5,41,27,0,259,13.9,421,1758,21:58,991,896,52.5,28,47,41,56,"AS-1,Hart-1,Pearson-1,Ross-1,Selke-18"
2014-15,27,PIT,NHL,77,28,56,84,5,47,18,10,0,3,35,21,0,237,11.8,380,1538,19:58,797,789,50.3,29,66,37,53,"AS-2,Hart-5,Selke-19"
2015-16,28,PIT,NHL,80,36,49,85,19,42,26,10,0,9,35,14,0,248,14.5,446,1638,20:28,986,921,51.7,35,90,40,47,"AS-1,Byng-35,Hart-2,Selke-7,Smythe-1"
2016-17,29,PIT,NHL,75,44,45,89,17,24,30,14,0,5,34,11,0,255,17.3,411,1491,19:53,842,906,48.2,27,80,39,70,"AS-2,Byng-16,Hart-2,Richard-1,Selke-10,Smythe-1"
2017-18,30,PIT,NHL,82,29,60,89,0,46,20,9,0,6,31,29,0,247,11.7,412,1697,20:41,1026,909,53,36,75,42,76,"AS-5,Hart-17,Selke-9"
2018-19,31,PIT,NHL,79,35,65,100,18,36,23,12,0,3,46,17,2,220,15.9,348,1658,21:00,1012,814,55.4,43,85,54,67,"AS-2,Byng-27,Hart-2,Selke-4"
2019-20,32,PIT,NHL,41,16,31,47,-8,15,12,4,0,4,18,13,0,109,14.7,163,831,20:16,494,394,55.6,17,28,26,25,Byng-23
2020-21,33,PIT,NHL,55,24,38,62,8,26,18,5,1,5,21,17,0,159,15.1,251,1122,20:24,676,586,53.6,28,44,51,54,"AS-5,Hart-4,Selke-14"
2021-22,34,PIT,NHL,69,31,53,84,19,32,23,8,0,9,31,22,0,208,14.9,334,1378,19:58,760,690,52.4,37,50,34,54,
